categoryID,Unnamed: 0,round,category,categoryComment,categoryAssigned,subcategoryAssigned,questionSet
16,16,1,ISLANDS,,Geography,Islands,1
90,88,3,MUSIC & THE MOVIES,(Alex: Been to the movies in the last decade?),Entertainment,Movies & Film,1
106,103,1,ART ATTACK,,Culture,Art,1
107,104,1,ACTORS & THEIR FILMS,,Entertainment,Movies & Film,1
112,109,2,I'M IN CHARGE!,"(Alex: We'll name the leader, you name the country.)",Politics,World Leaders,1
116,113,3,MAJOR LEAGUE BASEBALL TEAM NAMES,,Sports,Teams,1
122,119,1,NOT A GREEK LETTER,,Language,Letters & Letter Play,1
137,134,2,PAINTING & SCULPTURE,,Culture,Art,1
164,161,2,HISTORICAL NOVELS,,Language,Literature,1
167,164,2,WHAT WORDS SHOULD REALLY MEAN,,Language,Words & Word Play,1
177,174,2,THE SUPREME COURT,,Politics,Law,1
191,188,2,4-LETTER FILMS,,Entertainment,Movies & Film,1
221,218,1,1959's BESTSELLERS,,Language,Literature,1
233,230,3,OSCAR WINNERS,,Entertainment,The Oscars,1
251,247,1,1994 FILMS,,Entertainment,Movies & Film,1
255,251,2,DRAMA QUEENS,,History,Monarchies,1
289,285,1,MANHATTAN'S MUSEUM MILE,,Culture,Museums,1
298,293,3,UNIVERSITIES,,Other,Colleges & Universities,1
320,314,2,"OPERA HAS BEEN VERDI, VERDI GOOD TO ME",,Culture,Theatre,1
332,326,2,MEASURE FOR MEASURE,,Science,Measurements,1
353,347,1,MUSICALLY INCLINED,,Music,Contemporary Music,1
357,350,2,DRAMATISTS,,Language,Literature,1
383,375,2,BRITISH ART & ARTISTS,,Culture,Art,1
390,382,1,THE LAKE COUNTRY,(Alex: You have to identify the country.),Geography,Bodies of Water,1
394,386,1,E-COMMERCE,,Entertainment,Internet,1
406,398,1,NUMB WITH NUMBERS,,Other,Numbers & Number Play,1
410,402,2,MUSEUMS,,Culture,Museums,1
422,414,2,WORLD CAPITALS,,Geography,Cities,1
424,416,2,"OH, NO!  IT'S OPERA!",,Culture,Theatre,1
428,420,3,THE UNIVERSE,,Science,Outer Space,1
430,422,1,FILMS OF THE '70s,,Entertainment,Movies & Film,1
432,424,1,BACK TO THE HOTEL,,Other,Hotels,1
434,426,1,THE BIRD IS THE WORD,,Nature,Birds,1
446,438,1,COLLEGES & UNIVERSITIES,,Other,Colleges & Universities,1
452,444,2,TAKE ME TO THE THEATRE!,,Culture,Theatre,1
454,446,3,STATE CAPITALS,,Geography,Cities,1
469,461,1,STATE CAPITALS OF THE WORLD,,Geography,Cities,1
473,465,1,20th CENTURY NOVELS,,Language,Literature,1
491,483,2,GREAT AMERICAN NOVELS,,Language,Literature,1
496,488,1,COLLEGE WORLD,,Other,Colleges & Universities,1
509,501,1,CATS & DOGS,,Nature,Pets,1
510,502,1,MOUNTAIN TIME,,Geography,Mountains,1
520,512,1,BRIDGING THE WORLD,(Alex: We want you to name the major city each bridge serves.  We'll give you the bridge.),Science,Engineering,1
521,513,1,OLD GLORY,,Other,Flags,1
523,515,1,GOOD EATS,,Culture,Food & Drink,1
524,516,1,ALL SPORT,,Sports,Competition,1
537,529,1,AMERICAN PIE,,Culture,Food & Drink,1
547,539,1,THE SENATOR OF ATTENTION,,Politics,Government,1
574,565,1,WHAT A DISH!,,Culture,Food & Drink,1
592,583,2,'80s MOVIES,,Entertainment,Movies & Film,1
602,593,1,DANCE DANCE REVOLUTION,,Culture,Dance,1
610,601,3,THE OSCARS,,Entertainment,The Oscars,1
621,611,2,THE SHIP,,History,Ships & Sailors,1
630,620,2,NOVELS,,Language,Literature,1
646,635,2,BRANDS,,Business,Brands,1
677,665,1,LITERA-SEA,,Language,Literature,1
689,677,1,BRAND NAMES,,Business,Brands,1
736,722,2,PROMINENT 20th CENTURY WOMEN,,History,Famous Women,1
743,729,1,TREES COMPANY,,Nature,Trees,1
746,732,2,CLASSICAL MUSIC,,Music,Classical Music,1
766,752,1,U.S. SKYLINE TOURS,,Geography,Cities,1
774,760,2,QUEEN ME,,History,Monarchies,1
799,784,2,MUSICAL INSPIRATIONS,,Culture,Theatre,1
819,803,1,SONG STANDARDS,,Music,Contemporary Music,1
820,804,1,FOOD-O & DRINK-O,,Culture,Food & Drink,1
822,806,1,"WRITE ON, GIRL!","(Alex: Come on, oh!  WRITE ON, GIRL! ...I said ""Come on"" instead of ""Write on""--that shows you where my mind is.)",Language,Literature,1
835,818,1,FRUIT,,Culture,Food & Drink,1
850,833,2,AMERICAN HISTORY,,History,Famous Women,1
857,840,1,WAR,,History,War,1
858,841,1,BRIDGE,,Science,Engineering,1
860,843,1,GIN,,Culture,Food & Drink,1
896,877,1,STATE TREES,,Nature,Trees,1
902,883,2,BOOKS OF THE BIBLE,,Language,Literature,1
915,896,2,BRITISH POETS & POETRY,,Language,Literature,1
917,898,2,FLOWERS,,Nature,Plants,1
930,911,2,1964 BEATLES NO. 1 HITS,,Music,Contemporary Music,1
934,915,3,U.S. PRESIDENTS,,Politics,Presidents,1
947,928,3,COLLEGES & UNIVERSITIES,,Other,Colleges & Universities,1
954,935,2,CLASSICAL MUSIC,,Music,Classical Music,1
964,945,1,U.S. COMMEMORATIVE COINS,,Other,Money,1
967,948,2,IF THEY WERE MUSICALS...,(Alex: You're gonna love it!),Culture,Theatre,1
970,951,2,ARTISTS & THEIR SUBJECTS,,Culture,Art,1
990,970,1,"HELLO, GOOD BUY",,Business,Companies,1
1001,981,1,OLYMPIC GOLD MEDALISTS,,Sports,Competition,1
1008,988,2,AWARDS & HONORS,,Culture,Awards,1
1012,991,3,U.S. PRESIDENTS & VICE PRESIDENTS,,Politics,Presidents,1
1022,1001,2,USAGE,,Language,Words & Word Play,1
1032,1011,2,CLASSICAL CLASSICS,,Music,Classical Music,1
1034,1013,2,WORLD OF FOOD,,Culture,Food & Drink,1
