categoryID,round,category,categoryComment,categoryAssigned,subcategoryAssigned
0,1,THE OLD TESTAMENT,,Language,Literature
1,1,SEAN SONG,,Language,Words & Word Play
2,1,CITY WALK,,Geography,Cities
3,1,SLOGANEERING,,Business,Brands
4,1,ROOM,,Other,Hotels
5,1,"""BOARD""",,Language,Words & Word Play
6,2,WORLD HISTORY,,Geography,Countries
7,2,SPIRITED CINEMA,,Entertainment,Movies & Film
8,2,TRANSPORTATION,,Business,Companies
9,2,"FISH, BIRD, OR MAMMAL",,Nature,Birds
10,2,PRUFROCKIAN PONDERINGS,"(Alex: Clues inspired by T.S. Eliot's ""Love Song of J. Alfred Prufrock"".)",History,Famous Women
11,2,"YOU GET AN ""A""",,Science,Measurements
12,3,COMIC BOOKS,,Language,Literature
13,1,ASIAN HISTORY,,Geography,Cities
14,1,WE LOVE BROADWAY,,Culture,Theatre
15,1,THAT'S YOUNG!,,Entertainment,The Oscars
16,1,ISLANDS,,Geography,Islands
17,1,CLASSIC GAMES,,Entertainment,Games
18,1,QUASI-RELATED PAIRS,,Language,Words & Word Play
19,2,MONTY PYTHON,,Entertainment,Movies & Film
20,2,BRING OUT YOUR DEAD,,Language,Shakespeare
21,2,SPAM,,Language,Words & Word Play
22,2,SUMMARIZING PROUST,,Language,Words & Word Play
23,2,I'M A LUMBERJACK,,Nature,Trees
24,2,"KNIGHTS WHO SAY ""NI""",,Religion,God & Gods
25,3,MARILYN MONROE MOVIES,,Entertainment,Movies & Film
26,1,THE CIVIL WAR,,History,War
27,1,'90s MUSIC,,Music,Contemporary Music
28,1,NATIONAL HISTORIC SITES,,Geography,Cities
29,1,NOW THAT'S INVENTIVE!,,History,Chronology
30,1,TRUCKIN',,Business,Companies
31,1,EDIBLE RHYME TIME,,Culture,Food & Drink
32,2,FOREWORDS,,Language,Literature
33,2,CROSSWORDS,,Entertainment,Television
34,2,JEOPARDY!  KEYWORDS,,Geography,Cities
35,2,HOUSEHOLD WORDS,,Language,Words & Word Play
36,2,EDWARDS,,Entertainment,Movies & Film
37,2,"""F"" WORDS",,Politics,Government
38,3,EUROPE,,Language,Words & Word Play
39,1,STATE BORDERS,"(Alex: We'll give you 2 states, you name the state that borders both of them.)",Geography,States
40,1,SURVIVAL SKILLS,,Science,Anatomy
41,1,PLANTS & TREES,,Nature,Trees
42,1,SNL CATCHPHRASES,,Language,Phrases
43,1,THE FOOD BUSINESS,,Culture,Food & Drink
44,1,BODY LANGUAGE,,Science,Teeth & Dentistry
45,2,AMERICAN PLAYWRIGHTS,,Language,Literature
46,2,AUDREY HEPBURN FILM ROLES,(Alex: You have to identify the film.),History,Famous Women
47,2,IT'S A GROUP THING,,History,Monarchies
48,2,"GOOD MORNING, ARMENIA",,Geography,Cities
49,2,"""TWO""-DAY",,Language,Phrases
50,2,THE EARL SHOW,,Language,Words & Word Play
51,3,THE VOCAL ARTS,,Language,Words & Word Play
52,1,THE HISTORY CHANNEL,,Language,Words & Word Play
53,1,AD CAMPAIGNS,,Business,Companies
54,1,KNOW YOUR MUPPETS,,Nature,Zoology
55,1,PRESIDENTIAL LIFETIMES,,Geography,Cities
56,1,UNIVERSITY OF MICHIGAN ALUMNI,,Language,Literature
57,1,"ENDS IN ""X""",,Entertainment,Games
58,2,TITLES TAKEN FROM SHAKESPEARE,,Language,Shakespeare
59,2,THEY WERE IN THAT?,,Entertainment,Television
60,2,COUNTY SEATS,,Geography,Cities
61,2,AFRIKAANS,,Culture,Fashion
62,2,TRAVEL TIDBITS,,Geography,Islands
63,2,SOUNDS LIKE A PLAN,,Geography,Cities
64,3,SCIENCE NEWS,,Science,Outer Space
65,1,PROVINCES,(Alex: You have to identify the country.),Geography,Cities
68,1,FRANCIS FORD COPPOLA,,Entertainment,Movies & Film
69,1,THE GODFATHER,,Entertainment,Movies & Film
70,1,RHINOCEROS NOW,,Nature,Zoology
71,2,LITERARY TRANSLATIONS,(Alex: We want the English translation here.),Language,Words & Word Play
72,2,ARCHITECTURAL STYLES,,History,Chronology
73,2,A DATE WITH DISASTER,,History,War
74,2,"OH, HENRY!",,History,Monarchies
75,2,TV PAST & PRESENT,,Entertainment,Television
76,2,PEOPLE WHO BECAME WORDS,,Language,Words & Word Play
77,3,USA,,Geography,Islands
78,1,MAMMALS,,Nature,Zoology
79,1,POP STARS A.K.A.,,Entertainment,Movies & Film
80,1,AWARENESS MONTHS,,Language,Words & Word Play
81,1,AUNTIQUITY,,Geography,Cities
82,1,BEANS,,Culture,Food & Drink
83,1,"""OLD"" RHYMES",,Entertainment,Movies & Film
84,2,U.S. MEMORIALS,,Culture,Events
85,2,SPORTS PEOPLE WHO ARE PLACES,,Entertainment,Television
86,2,CROSS-EXAMINING THE WITS,,Language,Words & Word Play
87,2,DOUBLE-VOWEL WORDS,"(Alex: Same vowel, twice in a row.)",Language,Words & Word Play
88,2,LAWRENCE,,Entertainment,Television
89,2,OF ARABIA,,Geography,Cities
90,3,MUSIC & THE MOVIES,(Alex: Been to the movies in the last decade?),Entertainment,Movies & Film
92,1,FRANCHISES,,Geography,Cities
93,1,CLASSIC GAME SHOW TAGLINES,(Alex: Want you to name the show when we give you some...),Entertainment,Games
94,1,SAM HE IS,,Politics,Government
95,1,RAISING ARIZONA,,Politics,Government
96,1,"OH, ""BROTHER""!",,Entertainment,Television
97,2,ENGLISH LIT,(Alex: That's a good subject!),Language,Literature
98,2,'60s POP QUIZ,,Music,Contemporary Music
99,2,GIFF US ZE FORMULA!,,Language,Words & Word Play
100,2,ORANGE YOU GLAD?,,Culture,Food & Drink
101,2,HISTORY OF THE WORLD PART 5,(Alex: Some of it probably hasn't happened yet!),Geography,Countries
102,2,ANIMAL PARTS,,Nature,Zoology
103,3,ORGANIZATIONS,,Geography,Cities
104,1,U.K. DEPENDENCIES,,Geography,Islands
105,1,BOBBING FOR BOBS,,Language,Words & Word Play
106,1,ART ATTACK,,Culture,Art
107,1,ACTORS & THEIR FILMS,,Entertainment,Movies & Film
108,1,MISSING LINKS,,Other,Colors
109,1,LAST BUT NOT LEAST,,Geography,Cities
110,2,AMERICAN HISTORIC EVENTS,,Geography,Cities
111,2,EVERYBODY LOVES RAY BRADBURY,,Language,Literature
112,2,I'M IN CHARGE!,"(Alex: We'll name the leader, you name the country.)",Politics,World Leaders
113,2,THE ANIMAL KINGDOM,,Nature,Zoology
114,2,TAXI,,Entertainment,Movies & Film
115,2,"""CAB""",,Language,Words & Word Play
116,3,MAJOR LEAGUE BASEBALL TEAM NAMES,,Sports,Teams
117,1,CITIES OF NEW YORK,,Geography,Cities
118,1,COOKIES,,Music,Contemporary Music
119,1,SID & MARTY KROFFT TV,,Entertainment,Television
120,1,PSYCH 101,,Language,Literature
121,1,TREE WORDS,,Nature,Trees
122,1,NOT A GREEK LETTER,,Language,Letters & Letter Play
123,2,O CANADA,,Politics,World Leaders
124,2,BEST SUPPORTING ACTRESSES,(Alex: You have to name the Oscar winner for us.),Language,Words & Word Play
125,2,GYPSY,,Geography,Countries
126,2,ROSE,,Language,Words & Word Play
127,2,LEE,,History,War
128,2,"""STRIP""s",,Language,Words & Word Play
129,3,WORLD CAPITALS,,Geography,Cities
130,1,"AL, HISTORY'S PASSIVE AGGRESSIVE PAL",,Science,Outer Space
131,1,THE LANGUAGE OF SPORT,(Alex: We want you to name the sport in which each phrase originated.),Sports,Competition
132,1,THAT'S GOTTA HURT,,Language,Words & Word Play
133,1,FABULOUS FELINES,,Nature,Pets
134,1,RESTAURATEURS,,Language,Words & Word Play
135,1,VOCABULARY,,Language,Words & Word Play
136,2,19th CENTURY AMERICA,,Culture,Events
137,2,PAINTING & SCULPTURE,,Culture,Art
138,2,"ENDS IN ""FF""",,Language,Words & Word Play
139,2,LITERATURE,,Language,Literature
140,2,ICELANDIC HOTSPOTS,,Geography,Cities
141,2,JASON MILLER,,Culture,Awards
142,3,INTERNATIONAL COASTLINES,"(Alex: Basically, it's a geography question.)",Geography,Bodies of Water
143,1,U.S. CITIES,,Geography,Cities
144,1,"OH, DANNY BOY",,Politics,Government
145,1,PALEONTOLOGY,,Science,Teeth & Dentistry
146,1,AWARD PRESENTERS,"(Alex: We'll give you the presenter, you name the honor.)",Geography,Cities
147,1,HISTORY TEST,,Geography,Cities
148,1,WINNIE-THE-POOH'S ENTOURAGE,,Language,Words & Word Play
149,2,"LET'S ""C"" WHAT YOU KNOW",,Nature,Plants
150,2,NATIONAL HISTORIC LANDMARKS,,Geography,Cities
151,2,THE PURPLE TESTAMENT,,Entertainment,Movies & Film
152,2,WORKING TITLES,,Language,Literature
153,2,COMMON BONDS,,Language,Words & Word Play
154,2,FIVE WEDDINGS & A FUNERAL,,Entertainment,Movies & Film
155,3,BUSINESS & INDUSTRY,,Business,Companies
156,1,MOUNTAINS,,Geography,Mountains
157,1,COUPLES,,Language,Words & Word Play
158,1,THAT '70s SHOW,,Entertainment,Television
159,1,THE 13 COLONIES,,Geography,Cities
160,1,FOOD & DRINK,,Culture,Food & Drink
161,1,2-LETTER WORDS,,Language,Words & Word Play
162,2,THE UNITED NATIONS,(Alex: Since this is United Nations Day.),Geography,Countries
163,2,SOLD TO THE HIGHEST BIDDER,,Geography,Cities
164,2,HISTORICAL NOVELS,,Language,Literature
165,2,FILMOGRAPHIES,,Science,Outer Space
166,2,BUSINESS & INDUSTRY,,Business,Companies
167,2,WHAT WORDS SHOULD REALLY MEAN,,Language,Words & Word Play
168,3,SPORTS ON TV,,Sports,Competition
169,1,THROWING THE BOOK AT YOU,(Alex: We'll throw a quote at you; you identify the book.),Language,Words & Word Play
170,1,THE PRODUCE DEPT.,,Language,Words & Word Play
171,1,SOFTWARE THAT BYTES,,Language,Words & Word Play
172,1,BELOVED SINGERS,,Music,Contemporary Music
173,1,BALTIMORE,,Entertainment,Movies & Film
174,1,"""BEL""LISSIMO!",,Language,Words & Word Play
175,2,PHYSICISTS,,History,Chronology
176,2,SPEECH,,Language,Words & Word Play
177,2,THE SUPREME COURT,,Politics,Law
178,2,BALLET,,Culture,Theatre
179,2,DUTCH ROYALTY,,History,Monarchies
180,2,COMPOUND WORDS,,Language,Words & Word Play
181,3,'90s MOVIES,,Entertainment,Movies & Film
182,1,WOMEN: WRITE ON!,,Language,Literature
183,1,WHO'S WHO IN SPORTS,,Sports,Competition
184,1,MOVIE L.A.,,History,Chronology
185,1,LET'S TAKE A LITTLE TRIP,,Geography,Cities
186,1,HISPANICA,,Entertainment,Internet
187,1,B__D,"(Alex: Each response will have that form; it'll be 3 letters: a ""B"", another letter & a ""D"")",Business,Companies
188,2,GLOBIN',,Geography,Countries
189,2,FAMOUS FOR 15 MINUTES,,History,Famous Women
190,2,SCIENCE CLASS,,Science,Chemistry
191,2,4-LETTER FILMS,,Entertainment,Movies & Film
192,2,REVOLUTIONARIES,,Geography,Countries
193,2,"""HOLY"" COW!",,Language,Words & Word Play
194,3,THE MARS PATHFINDER MISSION,"(Alex:  Oh boy, I hope you're up on that!)",Language,Words & Word Play
195,1,"A ""WAR AND PEACE"" QUIZ","(Alex: Yes, the literary work.)",Language,Literature
196,1,THEY WROTE THE SONGS,"(Alex: We'll give you the songs, you identify the writers.)",Music,Contemporary Music
197,1,CELEBS,,Entertainment,Television
198,1,ANCIENT GREECE,,History,Famous Women
199,1,NECKWEAR,,Culture,Fashion
200,1,FOREIGN WORDS,,Language,Words & Word Play
201,2,"AMERICAN HISTORY ""X""",,Geography,Cities
202,2,ORGANIC CHEMISTRY,,Language,Words & Word Play
203,2,ACTING PRESIDENTS,,Politics,Presidents
204,2,INVENTORS & INVENTIONS,,Politics,Law
205,2,HISTORIC POST-IT NOTES,,Language,Words & Word Play
206,2,WORDS FOUND IN MAGAZINE NAMES,,Entertainment,Magazines & Newspapers
207,3,SPORTS BOOKS,,Language,Literature
208,1,LOST ART,,Nature,Plants
209,1,BLOCKBUSTER BLUSTER,,Entertainment,Movies & Film
210,1,CALL ME IRVING,,Language,Literature
211,1,REMEMBER THE 1700s?,,History,Monarchies
212,1,FEARFUL QUOTES,,Language,Literature
213,1,"""PUN"" DAY",,Language,Words & Word Play
214,2,LOST ART,,History,Monarchies
215,2,"HOLD ME CLOSER, TONY DANZA",,Entertainment,Movies & Film
216,2,POSSESSIVE LIT,,Nature,Zoology
217,2,THOSE ARE THE RULES,,Language,Words & Word Play
218,2,"""PRIME""D FOR SUCCESS",,Politics,World Leaders
219,2,CITY OF THE DAY: MILWAUKEE,,Geography,Cities
220,3,WORDS IN THE NEWS,,Language,Words & Word Play
221,1,1959's BESTSELLERS,,Language,Literature
222,1,DUOS,,Language,Shakespeare
223,1,CITY OF THE DAY: RALEIGH,,Geography,Cities
224,1,FAMILIAR NUMBERS,,Other,Numbers & Number Play
225,1,CLASS STRUGGLE,,Language,Words & Word Play
226,1,POP CULTURE,,Entertainment,Movies & Film
227,2,POLISH HISTORY,,Geography,Cities
228,2,TV NOSTALGIA,,Entertainment,Television
229,2,"""ME"" IN THE MIDDLE",,Language,Words & Word Play
230,2,"BIBLICAL PERSON, PLACE OR THING",,Language,Words & Word Play
