showID,filename,airdate,showType,showSubType
0,1.html,2004-09-06,Regular,Regular
1,10.html,2004-09-17,Regular,Regular
2,100.html,2005-01-06,Regular,Regular
3,1000.html,2001-10-12,Regular,Regular
4,1001.html,2001-10-15,Regular,Regular
5,1002.html,2001-10-16,Regular,Regular
6,1003.html,2001-10-17,Regular,Regular
7,1004.html,2001-10-18,Regular,Regular
8,1005.html,2001-10-19,Regular,Regular
9,1006.html,2000-07-12,Regular,Regular
10,1007.html,2001-10-22,Champions,Tournament of Champions
11,1008.html,2001-10-23,Champions,Tournament of Champions
12,1009.html,2001-10-24,Champions,Tournament of Champions
13,1010.html,2001-10-26,Champions,Tournament of Champions
14,1011.html,2000-07-13,Regular,Regular
15,1012.html,2000-07-14,Regular,Regular
16,1013.html,2006-06-05,Regular,Regular
17,1014.html,2006-06-06,Regular,Regular
18,1015.html,2000-07-05,Regular,Regular
19,1016.html,2000-07-19,Regular,Regular
20,1017.html,2006-06-07,Regular,Regular
21,1018.html,2000-07-04,Regular,Regular
22,1019.html,2006-06-08,Regular,Regular
23,102.html,2005-01-07,Regular,Regular
24,1020.html,2001-10-29,Champions,Tournament of Champions
25,1021.html,2001-10-30,Champions,Tournament of Champions
26,1023.html,2006-06-09,Regular,Regular
27,1024.html,2006-06-12,Regular,Regular
28,1025.html,2000-07-20,Regular,Regular
29,1026.html,2001-11-05,Regular,Regular
30,1027.html,2001-11-06,Regular,Regular
31,1028.html,2001-11-07,College,College Championship
32,1029.html,2001-11-08,College,College Championship
33,103.html,2005-01-10,Regular,Regular
34,1030.html,2001-11-09,College,College Championship
35,1031.html,2001-11-12,College,College Championship
36,1032.html,2001-11-13,College,College Championship
37,1033.html,2001-11-14,College,College Championship
38,1034.html,2001-11-15,College,College Championship
39,1035.html,2001-11-16,College,College Championship
40,1036.html,2001-11-19,College,College Championship
41,1037.html,2001-11-20,College,College Championship
42,1038.html,2006-06-13,Regular,Regular
43,1039.html,2000-07-21,Regular,Regular
44,104.html,2005-01-11,Regular,Regular
45,1040.html,2006-06-14,Regular,Regular
46,1041.html,2006-06-15,Regular,Regular
47,1043.html,2006-06-16,Regular,Regular
48,1048.html,2006-06-19,Regular,Regular
49,1051.html,2006-06-20,Regular,Regular
50,1052.html,2006-06-21,Regular,Regular
51,1055.html,2001-11-21,Regular,Regular
52,1056.html,2001-11-22,Regular,Regular
53,1057.html,2001-11-23,Regular,Regular
